RA1,Dec1,RA2,Dec2
344.36232,35.12127,344.24825,53.12109
344.24825,53.12109,351.35041,53.13879
351.35041,53.13879,351.36235,50.63880
351.36235,50.63880,355.16332,50.64432
355.16332,50.64432,355.16849,48.64432
355.16849,48.64432,4.03021,48.64630
4.03021,48.64630,4.02740,46.64630
4.02740,46.64630,14.65076,46.62859
14.65076,46.62859,14.66258,48.62858
14.66258,48.62858,18.45861,48.61703
18.45861,48.61703,18.47480,50.61700
18.47480,50.61700,22.27315,50.60277
22.27315,50.60277,26.82946,50.58225
26.82946,50.58225,26.79511,47.58234
26.79511,47.58234,32.48059,47.55164
32.48059,47.55164,32.52907,51.05150
32.52907,51.05150,39.73469,51.00491
39.73469,51.00491,39.54347,37.25558
39.54347,37.25558,31.73929,37.30564
31.73929,37.30564,31.72367,35.55569
31.72367,35.55569,22.78506,35.60040
22.78506,35.60040,22.77264,33.60042
22.77264,33.60042,12.32390,33.63427
12.32390,33.63427,12.29655,24.38430
12.29655,24.38430,14.30637,24.37938
14.30637,24.37938,14.29781,21.62940
14.29781,21.62940,3.62647,21.64653
3.62647,21.64653,3.62713,22.64653
3.62713,22.64653,2.49690,22.64704
2.49690,22.64704,2.49945,28.64704
2.49945,28.64704,1.49329,28.64729
1.49329,28.64729,1.49395,31.98062
1.49395,31.98062,357.71774,31.97978
357.71774,31.97978,357.71712,32.72978
357.71712,32.72978,353.94024,32.72615
353.94024,32.72615,353.93557,35.14282
353.93557,35.14282,344.36232,35.12127
141.80586,-24.50418,147.57940,-24.54239
147.57940,-24.54239,147.56042,-27.04233
147.56042,-27.04233,155.09762,-27.08392
155.09762,-27.08392,155.08085,-29.75055
155.08085,-29.75055,160.11017,-29.77275
160.11017,-29.77275,160.09944,-31.77273
160.09944,-31.77273,163.87406,-31.78635
163.87406,-31.78635,163.85600,-35.61965
163.85600,-35.61965,166.37538,-35.62726
166.37538,-35.62726,166.35406,-40.37723
166.35406,-40.37723,141.64747,-40.25362
141.64747,-40.25362,141.68238,-37.25374
141.68238,-37.25374,141.80586,-24.50418
208.80391,-83.07741,207.58101,-75.58041
207.58101,-75.58041,207.28501,-70.58114
207.28501,-70.58114,223.95852,-70.47650
223.95852,-70.47650,258.22614,-70.14989
258.22614,-70.14989,258.01419,-67.65105
258.01419,-67.65105,265.54573,-67.56741
265.54573,-67.56741,273.05042,-67.48276
273.05042,-67.48276,273.90162,-74.97795
273.90162,-74.97795,276.38780,-82.46389
276.38780,-82.46389,208.80391,-83.07741
309.48691,0.40514,309.46927,2.40506
